id,user_id,date,start,end,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10
1443,e0e6f701cb3179374d1e7310433649b1,2014-01-23,2014-01-23 17:02:00,2014-01-23 17:04:53,39,79,44,63,40,99,35,26,41,52,-11,-12,-16,-17,-15,-14,-13,-15,-12,-8,-13,-10,-15,-14,-14,-15,-13,-16,24,-13
1444,274511d71634c76887b0fac95e423e4c,2014-01-23,2014-01-23 17:21:48,2014-01-23 17:23:33,-12,-9,-16,-7,-1,-3,-11,-6,-7,-9,-16,-16,-20,-18,-16,-19,-19,-16,-19,-17,-16,-12,-14,-10,-15,-10,-18,-15,-15,-18
1445,f43eca764426be877aa919443de21c5d,2014-01-24,2014-01-24 14:10:12,2014-01-24 14:12:09,0,0,0,0,0,15,0,0,0,0,-13,-16,-16,-17,-16,-16,-17,-17,-17,-16,0,-7,0,0,0,0,0,0,0,0
1446,e768f1f9241ce2bdefba12f3518bad4e,2014-01-24,2014-01-24 14:13:44,2014-01-24 14:15:47,0,0,0,0,0,0,0,-12,-13,0,-15,-19,-16,-17,-19,-17,-19,-13,-9,-7,0,-12,-7,0,-14,-14,-10,-18,-15,0
1453,618f0cafff62de0f15a6effc55c4efbd,2014-01-28,2014-01-28 12:15:04,2014-01-28 12:17:12,-1,2,4,3,15,5,-1,3,3,-3,-13,-17,-16,-13,-17,-12,-8,-17,-6,-16,-13,-10,-15,-7,1,-13,-16,-11,-3,-7
1474,6ca4e5636eccea0acc4ccdaa2b5ea84f,2014-01-28,2014-01-28 17:01:29,2014-01-28 17:03:33,0,0,0,0,0,0,0,0,0,0,-14,-14,-12,-15,-13,-7,-15,-6,0,-5,-9,-13,-14,-13,-12,-5,0,0,0,0
1476,b426684796ecbfb321823d8bf991f52d,2014-01-28,2014-01-28 17:14:52,2014-01-28 17:16:33,-14,-12,-14,-11,-14,-14,-14,-14,-14,-14,-13,-14,-13,-13,-12,-14,-14,-13,-15,-14,-15,-13,-15,-15,-14,-14,-14,-14,-14,-14
1480,534e7e247c80632d0a61c11a5bd47c77,2014-01-29,2014-01-29 11:35:08,2014-01-29 11:37:32,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,2e196129f9dab084abcba6703fcf2dec,2014-01-29,2014-01-29 12:04:51,2014-01-29 12:07:15,0,-2,0,-6,17,2,-9,0,10,4,-6,0,0,0,-8,0,-10,0,0,0,-10,-9,-11,-8,-5,-7,-4,-4,0,0
1481,d346002ff0ac56a547dd2bd4fbf76284,2014-01-29,2014-01-29 11:41:44,2014-01-29 11:43:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1492,53bc9434b79e1dbc9a5bd7b7cd41a292,2014-01-29,2014-01-29 13:43:00,2014-01-29 13:44:49,-9,-11,-8,-3,-6,-13,-4,-11,-9,-12,-10,-13,-8,-13,-14,-14,-13,-12,-8,-8,-8,-12,-13,-10,-12,-8,-10,-12,-8,-12
1510,efee91c51947a81b3bf8466bbbdef5cd,2014-01-29,2014-01-29 17:00:32,2014-01-29 17:02:33,0,0,31,0,-15,0,-6,9,-5,0,-15,-9,-15,-14,-14,-4,-16,-14,-11,-3,-15,-15,-16,-7,-17,-12,-13,-14,-17,-17
1519,16ebb00216c26904bbc3f35b875a6edb,2014-02-04,2014-02-04 12:01:29,2014-02-04 12:03:00,-18,-17,-16,-17,-18,-18,-18,-18,-18,-19,-17,-17,-16,-16,-17,-17,-17,-18,-17,-18,-17,-18,-18,-17,-17,-18,-18,-17,-17,-17
1524,084bf4e1e1c814108502660f99a9199c,2014-02-04,2014-02-04 13:14:48,2014-02-04 13:17:08,0,0,0,0,0,0,-6,0,8,-8,-9,-13,-7,-11,-14,-8,-14,-7,0,0,6,-9,-10,-3,-10,-2,0,0,-7,0
1526,6113bbf50f2ae34176fb3567bc7c6ce0,2014-02-04,2014-02-04 14:26:56,2014-02-04 14:28:50,-12,5,-7,-5,-2,4,12,-7,0,-13,-14,-13,-12,-13,-12,-13,-13,-14,-13,1,-11,-12,-12,-14,-13,-14,-15,-15,-14,-15
